Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,0.100000,0.100000,0.100000,0.100000,0.100000,0
2020-04-21,0.100000,0.100000,0.100000,0.100000,0.100000,0
2020-04-22,0.090000,0.100000,0.090000,0.100000,0.100000,74000
2020-04-23,0.100000,0.100000,0.100000,0.100000,0.100000,0
2020-04-24,0.100000,0.100000,0.100000,0.100000,0.100000,0
2020-04-27,0.110000,0.110000,0.110000,0.110000,0.110000,49600
2020-04-28,0.110000,0.110000,0.100000,0.100000,0.100000,81000
2020-04-29,0.110000,0.110000,0.100000,0.110000,0.110000,12300
2020-04-30,0.110000,0.110000,0.100000,0.100000,0.100000,19500
2020-05-01,0.100000,0.100000,0.100000,0.100000,0.100000,0
2020-05-04,0.110000,0.130000,0.110000,0.130000,0.130000,79000
2020-05-05,0.130000,0.130000,0.120000,0.130000,0.130000,62400
2020-05-06,0.140000,0.150000,0.130000,0.130000,0.130000,50200
2020-05-07,0.140000,0.150000,0.140000,0.150000,0.150000,71900
2020-05-08,0.150000,0.150000,0.120000,0.120000,0.120000,45200
2020-05-11,0.110000,0.150000,0.110000,0.140000,0.140000,8400
2020-05-12,0.110000,0.140000,0.110000,0.140000,0.140000,5100
2020-05-13,0.140000,0.140000,0.140000,0.140000,0.140000,0
2020-05-14,0.140000,0.140000,0.140000,0.140000,0.140000,0
2020-05-15,0.130000,0.140000,0.120000,0.130000,0.130000,18600
2020-05-18,0.120000,0.120000,0.110000,0.110000,0.110000,24100
2020-05-19,0.110000,0.110000,0.110000,0.110000,0.110000,300
2020-05-20,0.120000,0.120000,0.110000,0.110000,0.110000,11200
2020-05-21,0.110000,0.120000,0.110000,0.120000,0.120000,6500
2020-05-22,0.120000,0.120000,0.120000,0.120000,0.120000,100
2020-05-26,0.120000,0.120000,0.120000,0.120000,0.120000,0
2020-05-27,0.110000,0.110000,0.110000,0.110000,0.110000,2500
2020-05-28,0.110000,0.110000,0.110000,0.110000,0.110000,0
2020-05-29,0.110000,0.110000,0.110000,0.110000,0.110000,0
2020-06-01,0.120000,0.120000,0.120000,0.120000,0.120000,4600
2020-06-02,0.120000,0.130000,0.120000,0.120000,0.120000,10900
2020-06-03,0.120000,0.120000,0.120000,0.120000,0.120000,90800
2020-06-04,0.120000,0.120000,0.110000,0.120000,0.120000,17100
2020-06-05,0.110000,0.120000,0.090000,0.110000,0.110000,176600
2020-06-08,0.110000,0.110000,0.110000,0.110000,0.110000,800
2020-06-09,0.120000,0.120000,0.120000,0.120000,0.120000,6300
2020-06-10,0.110000,0.120000,0.100000,0.120000,0.120000,7100
2020-06-11,0.100000,0.110000,0.100000,0.110000,0.110000,6100
2020-06-12,0.110000,0.110000,0.110000,0.110000,0.110000,100
2020-06-15,0.100000,0.120000,0.100000,0.100000,0.100000,5500
2020-06-16,0.100000,0.100000,0.090000,0.100000,0.100000,53600
2020-06-17,0.100000,0.110000,0.100000,0.100000,0.100000,16300
2020-06-18,0.100000,0.100000,0.090000,0.100000,0.100000,15300
2020-06-19,0.110000,0.110000,0.090000,0.090000,0.090000,11900
2020-06-22,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-06-23,0.090000,0.090000,0.090000,0.090000,0.090000,0
2020-06-24,0.090000,0.090000,0.090000,0.090000,0.090000,5000
2020-06-25,0.110000,0.110000,0.100000,0.100000,0.100000,1400
2020-06-26,0.100000,0.100000,0.100000,0.100000,0.100000,0
2020-06-29,0.090000,0.090000,0.090000,0.090000,0.090000,4400
2020-06-30,0.100000,0.110000,0.100000,0.110000,0.110000,201200
2020-07-01,0.110000,0.110000,0.110000,0.110000,0.110000,0
2020-07-02,0.100000,0.100000,0.090000,0.100000,0.100000,283800
2020-07-06,0.100000,0.100000,0.100000,0.100000,0.100000,9800
2020-07-07,0.090000,0.100000,0.090000,0.100000,0.100000,30900
2020-07-08,0.100000,0.100000,0.100000,0.100000,0.100000,200
2020-07-09,0.090000,0.100000,0.090000,0.100000,0.100000,7000
2020-07-10,0.100000,0.100000,0.100000,0.100000,0.100000,100
2020-07-13,0.090000,0.100000,0.090000,0.100000,0.100000,6100
2020-07-14,0.100000,0.100000,0.100000,0.100000,0.100000,1000
2020-07-15,0.090000,0.100000,0.090000,0.090000,0.090000,19400
2020-07-16,0.090000,0.090000,0.090000,0.090000,0.090000,1300
2020-07-17,0.090000,0.090000,0.090000,0.090000,0.090000,199700
2020-07-20,0.090000,0.090000,0.090000,0.090000,0.090000,400
2020-07-21,0.100000,0.100000,0.100000,0.100000,0.100000,25900
2020-07-22,0.100000,0.100000,0.100000,0.100000,0.100000,0
2020-07-23,0.100000,0.100000,0.100000,0.100000,0.100000,0
2020-07-24,0.110000,0.110000,0.100000,0.100000,0.100000,6000
2020-07-27,0.120000,0.120000,0.120000,0.120000,0.120000,600
2020-07-28,0.120000,0.120000,0.120000,0.120000,0.120000,0
2020-07-29,0.100000,0.100000,0.100000,0.100000,0.100000,231200
2020-07-30,0.100000,0.100000,0.100000,0.100000,0.100000,0
2020-07-31,0.100000,0.100000,0.100000,0.100000,0.100000,0
2020-08-03,0.100000,0.120000,0.100000,0.120000,0.120000,65200
2020-08-04,0.120000,0.120000,0.110000,0.120000,0.120000,36100
2020-08-05,0.120000,0.120000,0.120000,0.120000,0.120000,0
2020-08-06,0.120000,0.120000,0.120000,0.120000,0.120000,21400
2020-08-07,0.120000,0.120000,0.120000,0.120000,0.120000,0
2020-08-10,0.100000,0.120000,0.100000,0.120000,0.120000,21800
2020-08-11,0.120000,0.120000,0.120000,0.120000,0.120000,80000
2020-08-12,0.110000,0.110000,0.110000,0.110000,0.110000,100500
2020-08-13,0.120000,0.120000,0.100000,0.100000,0.100000,28400
2020-08-14,0.100000,0.120000,0.100000,0.100000,0.100000,59000
2020-08-17,0.110000,0.110000,0.110000,0.110000,0.110000,4100
2020-08-18,0.110000,0.110000,0.110000,0.110000,0.110000,100
2020-08-19,0.100000,0.110000,0.100000,0.110000,0.110000,2000
2020-08-20,0.110000,0.110000,0.110000,0.110000,0.110000,0
2020-08-21,0.110000,0.110000,0.110000,0.110000,0.110000,15400
2020-08-24,0.110000,0.110000,0.110000,0.110000,0.110000,10000
2020-08-25,0.110000,0.110000,0.110000,0.110000,0.110000,2100
2020-08-26,0.110000,0.110000,0.110000,0.110000,0.110000,16500
2020-08-27,0.100000,0.100000,0.100000,0.100000,0.100000,50800
2020-08-28,0.100000,0.100000,0.090000,0.090000,0.090000,122800
2020-08-31,0.090000,0.100000,0.090000,0.090000,0.090000,48100
2020-09-01,0.100000,0.110000,0.100000,0.110000,0.110000,17700
2020-09-02,0.100000,0.100000,0.090000,0.100000,0.100000,145900
2020-09-03,0.100000,0.100000,0.100000,0.100000,0.100000,0
2020-09-04,0.090000,0.100000,0.090000,0.100000,0.100000,1800
2020-09-08,0.090000,0.100000,0.090000,0.100000,0.100000,5000
2020-09-09,0.100000,0.100000,0.090000,0.100000,0.100000,4200
2020-09-10,0.100000,0.100000,0.100000,0.100000,0.100000,3500
2020-09-11,0.100000,0.110000,0.090000,0.110000,0.110000,4100
2020-09-14,0.090000,0.100000,0.080000,0.090000,0.090000,293300
2020-09-15,0.090000,0.090000,0.050000,0.080000,0.080000,653400
2020-09-16,0.080000,0.080000,0.070000,0.080000,0.080000,34000
2020-09-17,0.080000,0.090000,0.080000,0.090000,0.090000,155000
2020-09-18,0.080000,0.090000,0.080000,0.080000,0.080000,75000
2020-09-21,0.080000,0.080000,0.080000,0.080000,0.080000,0
2020-09-22,0.080000,0.090000,0.080000,0.090000,0.090000,195000
2020-09-23,0.080000,0.080000,0.080000,0.080000,0.080000,61900
2020-09-24,0.080000,0.080000,0.080000,0.080000,0.080000,0
2020-09-25,0.080000,0.090000,0.080000,0.080000,0.080000,23200
2020-09-28,0.080000,0.090000,0.080000,0.080000,0.080000,18100
2020-09-29,0.090000,0.090000,0.090000,0.090000,0.090000,104000
2020-09-30,0.090000,0.090000,0.090000,0.090000,0.090000,62900
